_id,No. de proceso,Tipo proceso,Despacho judicial actual,Jurisdicción,Valor pretensión
195,2015-00232,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
196,2015-00529,Ordinario Laboral,JUZGADO 014 LABORAL DEL CIRCUITO DE ORALIDAD DE CALI,Laboral,$ 16.684.579
197,2015-00693,Ordinario Laboral,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Laboral,$ 20.000.000
198,2015-00377,Acción de Cumplimiento,JUZGADO 004 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
199,2015-00705,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 577.075.000
200,2015-00798,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 433.795.000
201,2015-00111,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 431.714.500
202,2014-00013,Acción de Grupo,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 32.217.500
203,2015-00671,Contractual,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 464.000.000
204,2015-00208,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 20.182.316
205,2015-00289,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 89.017.500
206,2014-01470,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 231.203.000
207,2015-00815,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 115.673.448
208,2015-00421,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE CALI,Administrativo,$ 52.213.968
209,2015-00318,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 411.832.950
210,2015-00099,Reparacion Directa,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 889.323.520
211,2015-00529,Ordinario Laboral,JUZGADO 006 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 13.789.100
212,2015-00190,Nulidad y Restablecimiento del Derecho,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
213,2015-00392,Reparacion Directa,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 621.561.344
214,2013-00407,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 4.134.294.016
215,2015-00095,Reparacion Directa,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 48.626.250
216,2015-00267,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 659.443.392
217,2016-00140,Reparacion Directa,JUZGADO 008 ADMINISTRATIVO ORAL DE CALI,Administrativo,$ 144.021.000
218,2016-00139,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 606.725.958
219,2011-00418,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 81.929.015
220,2015-00342,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 32.050.340
221,2015-00154,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 26.853.580
222,2015-00455,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 2.785.039.872
223,2015-01450,Acción Popular,CONSEJO DE ESTADO 001 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN PRIMERA,Administrativo,$ 0
224,2015-00094,Ordinario Laboral,JUZGADO 011 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 13.789.100
225,2015-00326,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 27.578.200
226,2015-00284,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 100.945.500
227,2015-00515,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 4.000.000.000
228,2015-00169,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 628.954.234
229,2014-00587,Ordinario Laboral,JUZGADO 004 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 400.000.000
230,2015-00255,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 5.600.000
231,2015-00707,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 431.312.655
232,2015-00234,Nulidad y Restablecimiento del Derecho,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 79.555.000
233,2016-00235,Acción de Grupo,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 20.418.316.100
234,2015-00457,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 100.000.000
235,2016-00028,Nulidad Simple,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
236,2015-00124,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 580.000.000
237,2014-00124,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 307.527.264
238,2016-00041,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
239,2014-01076,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 331.800.000
240,2015-00125,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 106.501.040
241,2015-00434,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 4.000.000
242,2016-00243,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 62.848.563
243,2015-00224,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 79.555.000
244,2015-01298,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 5.136.307.843
245,2016-00349,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 1.539.587.104
246,2015-00011,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 110.641.620
247,2016-00086,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 24.000.000
248,2015-00283,Contractual,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 106.807.288
249,2015-00435,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 193.813.744
250,2015-00426,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 30.564.727
251,2016-00150,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 2.006.231.040
252,2015-00241,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 786.348.500
253,2015-00214,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 374.070.500
254,2015-00249,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 642.019.840
255,2015-00174,Nulidad y Restablecimiento del Derecho,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 74.696.710
256,2015-00432,Venta de Bien Común,JUZGADO 003 CIVIL DEL CIRCUITO DE CALI,Civil,$ 6.871.072.980
257,2015-00234,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 163.620.500
258,2015-00370,Nulidad y Restablecimiento del Derecho,JUZGADO 003 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 23.719.126
259,2015-00282,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.286.251.058
260,2015-00533,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.254.056.000
261,2016-00116,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 25.000.000
262,2016-00518,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 100.666.281
263,2015-00435,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 275.782.000
264,2016-00048,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 595.263.475
265,2015-01501,Nulidad y Restablecimiento Tributario,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 78.124.232
266,2016-00064,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 971.127.500
267,2014-00360,Ordinario Laboral,JUZGADO 013 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 176.357.928
268,2016-00448,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 317.148.181
269,2010-00092,Divisorio,JUZGADO 003 CIVIL DEL CIRCUITO DE GUADALAJARA DE BUGA,Civil,$ 716.379.680
270,2016-00071,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
271,2015-00201,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 79.207.210
272,2009-00592,Acción Popular,JUZGADO 004 CIVIL DEL CIRCUITO DE CALI,Administrativo,$ 0
273,2015-01575,Nulidad y Restablecimiento Tributario,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 118.026.000
274,2015-00336,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 417.074.808
275,2015-00387,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 474.938.400
276,2016-00142,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 1.511.762.560
277,2016-00266,Acción Popular,JUZGADO 007 CIVIL DEL CIRCUITO DE CALI,Administrativo,$ 0
278,2016-00200,Reparacion Directa,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 11.000.000
279,2016-00234,Reparacion Directa,JUZGADO 015 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 586.869.030
280,2016-00197,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 20.441.000
281,2016-00081,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 16.596.576
282,2016-00119,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 40.284.520
283,2016-00238,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 363.576.040
284,2016-00152,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 1.640.451.000
285,2016-00174,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 216.198.688
286,2015-00464,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 83.195.500
287,2016-00027,Reparacion Directa,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 93.963.415
288,2016-00210,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
289,2016-00229,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 6.270.594
290,2016-00285,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 413.673.000
291,2016-01420,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 1.043.875.500
292,2016-01505,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
293,2016-00037,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 717.404.050
294,2016-00127,Nulidad y Restablecimiento del Derecho,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
295,2015-00036,Contractual,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 138.958.444
296,2016-00183,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.241.019.000
297,2016-00548,Reparacion Directa,JUZGADO 021 ADMINISTRATIVO DE CALI,Administrativo,$ 52.100.000
298,2016-00194,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
299,2016-00210,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 623.603.456
300,2016-00254,Reparacion Directa,JUZGADO 015 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 842.334.319
301,2015-01340,Contractual,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 44.389.646.336
302,2016-00352,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 5.050.519.040
303,2016-00272,Nulidad y Restablecimiento Tributario,CONSEJO DE ESTADO SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN CUARTA,Administrativo,$ 101.617.328
304,2016-01445,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 2.491.131.360
305,2015-00704,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 220.435.000
306,2016-00252,Acción Popular,JUZGADO 003 CIVIL DEL CIRCUITO DE PEREIRA,Administrativo,$ 0
307,2016-00251,Acción Popular,JUZGADO 003 CIVIL DEL CIRCUITO DE PEREIRA,Administrativo,$ 0
308,2016-00135,Acción Popular,JUZGADO 003 CIVIL DEL CIRCUITO DE PEREIRA,Administrativo,$ 0
309,2016-00142,Acción Popular,JUZGADO 003 CIVIL DEL CIRCUITO DE PEREIRA,Administrativo,$ 0
310,2015-00230,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 94.675.000
311,2015-00242,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 94.675.000
312,2015-00304,Reparacion Directa,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 217.805.270
313,2015-00206,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 81.075.000
314,2016-00233,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 43.183.000
315,2016-00064,Nulidad y Restablecimiento del Derecho,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
316,2015-00410,Reparacion Directa,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 76.771.500
317,2016-00321,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 7.644.610
318,2015-00410,Nulidad y Restablecimiento del Derecho,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
319,2016-01371,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 15.279.607.191
320,2016-00167,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 25.774.000
321,2016-00406,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 291.664.373
322,2016-00130,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 440.191.425
323,2016-00227,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 367.972.384
324,2016-00284,Acción de Grupo,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.000.000.000
325,2016-01360,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.254.118.900
326,2016-00309,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 139.500.000
327,2016-01522,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 88.945.500
328,2016-01532,Contractual,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 53.613.300.000
329,2016-00898,Nulidad y Restablecimiento Tributario,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 597.000.000
330,2016-00303,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 922.146.250
331,2013-00360,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 2.641.920
332,2015-00416,Reparacion Directa,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 779.658.830
333,2017-00003,Acción de Grupo,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 0
334,2016-00328,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.076.644.608
335,2015-00325,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 89.367.064
336,2016-00370,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 963.671.746
337,2016-00145,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 368.858.500
338,2016-01490,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 453.600.000
339,2016-00488,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 3.927.987.456
340,2016-00329,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
341,2018-00068,Nulidad y Restablecimiento del Derecho,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 157.585.392
342,2017-00013,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 137.767.252
343,2017-00028,Acción de Cumplimiento,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
344,2016-00269,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 979.720.512
345,2017-00011,Acción Popular,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
346,2016-01517,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
347,2016-00038,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 17.889.300
348,2016-00031,Reparacion Directa,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 159.821.328
349,2013-00326,Acción Popular,JUZGADO 005 CIVIL DEL CIRCUITO DE CALI,Administrativo,$ 0
350,2015-00311,Reparacion Directa,JUZGADO 011 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 246.803.728
351,2016-00047,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE CALI,Administrativo,$ 97.027.790
352,2016-00202,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 685.819.635
353,2016-00233,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 301.405.386
354,2016-00304,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 6.800.000
355,2016-00327,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 28.370.190
356,2015-00783,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 229.748.246
357,2016-00198,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 298.086.800
358,2016-00224,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 275.781.600
359,2016-00260,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 18.000.000
360,2016-00016,Nulidad y Restablecimiento del Derecho,JUZGADO 016 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 412.786.820
361,2017-00030,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 814.838
362,2016-00222,Nulidad y Restablecimiento Tributario,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
363,2017-00014,Nulidad y Restablecimiento del Derecho,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
364,2016-00355,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 541.853.440
365,2016-00293,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 896.984.320
366,2017-00017,Nulidad Simple,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
367,2016-00353,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 368.858.700
368,2016-00313,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 29.771.499
369,2016-00186,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 90.476.136
370,2016-01593,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.502.000.000
371,2016-00216,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 110.000.500
372,2016-00366,Reparacion Directa,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 843.387.456
373,2016-00228,Nulidad Simple,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
374,2016-00321,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
375,2016-00565,Ordinario Laboral,JUZGADO 006 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 0
376,2017-00028,Reparacion Directa,JUZGADO 002 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 75.150.610
377,2015-00436,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 11.860.000
378,2016-00200,Nulidad y Restablecimiento del Derecho,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 147.890.800
379,2016-01950,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.786.560.078
380,2016-00343,Nulidad y Restablecimiento del Derecho,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 4.150.000
381,2015-00821,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 445.900.140
382,2016-00300,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 1.018.975.000
383,2016-00245,Ordinario Laboral,TRIBUNAL SUPERIOR DE CALI SALA LABORAL,Laboral,$ 15.000.000
384,2016-00123,Nulidad y Restablecimiento del Derecho,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 24.287.181
385,2016-00090,Reparacion Directa,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 674.267.200
386,2017-00087,Reparacion Directa,JUZGADO 006 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 71.731.700
